Network,Subnet,VLAN_ID,Start_IP,End_IP,Gateway,Subnet_Mask,Description
Management,192.168.1.0/24,1,192.168.1.10,192.168.1.50,192.168.1.1,255.255.255.0,Management Network
Sales,192.168.10.0/24,10,192.168.10.10,192.168.10.100,192.168.10.1,255.255.255.0,Sales Department
HR,192.168.20.0/24,20,192.168.20.10,192.168.20.100,192.168.20.1,255.255.255.0,Human Resources
IT,192.168.30.0/24,30,192.168.30.10,192.168.30.100,192.168.30.1,255.255.255.0,IT Department
Servers,192.168.100.0/24,100,192.168.100.10,192.168.100.50,192.168.100.1,255.255.255.0,Server Farm
DMZ,172.16.1.0/24,200,172.16.1.10,172.16.1.50,172.16.1.1,255.255.255.0,Demilitarized Zone
Guest,10.0.0.0/24,300,10.0.0.10,10.0.0.100,10.0.0.1,255.255.255.0,Guest Network
WAN_Link1,203.0.113.0/30,N/A,203.0.113.1,203.0.113.2,N/A,255.255.255.252,ISP Connection 1
WAN_Link2,198.51.100.0/30,N/A,198.51.100.1,198.51.100.2,N/A,255.255.255.252,ISP Connection 2
IPv6_Management,2001:db8:1::/64,1,2001:db8:1::10,2001:db8:1::50,2001:db8:1::1,/64,IPv6 Management